Ratio full (to halfway),segment-,From %,To %,,Time (minutes),Time in sec (seconds),Time in Milliseconds,"Y, Height (inches)",-x positon  (top-left edge),x positon  (top-right edge),surface-area rectangle side length (perspective width),10x Surface-area rect length ROUNDED,10x height ROUNDED,
0.0002,segment-1,0,0.02,,0.0,0.0,0,0.0,0,0,0,0.00,0.00,
0.0004,segment-2,0.02,0.04,,0.0015402324454759900,0.0924139467285594000,92,0.039378905625500500,-1.01108894171322,1.01108894171322,2.02217788342644,20.22,0.39,
0.0006,segment-3,0.04,0.06,,0.0030804648909519800,0.1848278934571190000,185,0.06252125949088220,-1.27343780330042,1.27343780330042,2.54687560660084,25.47,0.63,
0.0008,segment-4,0.06,0.08,,0.0046206973364279600,0.2772418401856780000,277,0.08193828629709730,-1.45728568268656,1.45728568268656,2.91457136537312,29.15,0.82,
0.001,segment-5,0.08,0.1,,0.006160929781903950,0.369655786914237000,370,0.09927443315905410,-1.60352107845715,1.60352107845715,3.2070421569143,32.07,0.99,
0.0012,segment-6,0.1,0.12,,0.007701162227379940,0.462069733642796000,462,0.11521193717341700,-1.72691533551636,1.72691533551636,3.45383067103272,34.54,1.15,
0.0014,segment-7,0.12,0.14,,0.009241394672855930,0.554483680371356000,554,0.13011726492241900,-1.83469844534517,1.83469844534517,3.66939689069034,36.69,1.30,
0.0016,segment-8,0.14,0.16,,0.010781627118331900,0.646897627099914000,647,0.14421597908003500,-1.93101455392209,1.93101455392209,3.86202910784418,38.62,1.44,
0.0018,segment-9,0.16,0.18,,0.012321859563807900,0.739311573828474000,739,0.15765936150491500,-2.01848629543469,2.01848629543469,4.03697259086938,40.37,1.58,
0.002,segment-10,0.18,0.2,,0.013862092009283900,0.831725520557034000,832,0.1705550981490960,-2.09889101917462,2.09889101917462,4.19778203834924,41.98,1.71,
0.0022,segment-11,0.2,0.22,,0.015402324454759900,0.924139467285594000,924,0.1829832786458740,-2.17349542546764,2.17349542546764,4.34699085093528,43.47,1.83,
0.0024,segment-12,0.22,0.24,,0.01694255690023590,1.01655341401415000,1017,0.1950055106153570,-2.24323786675174,2.24323786675174,4.48647573350348,44.86,1.95,
0.0026,segment-13,0.24,0.26,,0.018482789345711900,1.108967360742710000,1109,0.20667046966362300,-2.3088351019991,2.3088351019991,4.6176702039982,46.18,2.07,
0.0028,segment-14,0.26,0.28,,0.020023021791187800,1.201381307471270000,1201,0.2180174600592790,-2.37084844489279,2.37084844489279,4.74169688978558,47.42,2.18,
0.003,segment-15,0.28,0.3,,0.021563254236663800,1.293795254199830000,1294,0.22907879726645800,-2.42972665820064,2.42972665820064,4.85945331640128,48.59,2.29,
0.0032,segment-16,0.3,0.32,,0.023103486682139800,1.386209200928390000,1386,0.23988145837386800,-2.4858348303234,2.4858348303234,4.9716696606468,49.72,2.40,
0.0034,segment-17,0.32,0.34,,0.02464371912761580,1.47862314765695000,1479,0.2504482591096970,-2.53947443506743,2.53947443506743,5.07894887013486,50.79,2.50,
0.0036,segment-18,0.34,0.36,,0.0261839515730918,1.5710370943855100,1571,0.2607987142773180,-2.59089764403026,2.59089764403026,5.18179528806052,51.82,2.61,
0.0038,segment-19,0.36,0.38,,0.02772418401856780,1.66345104111407000,1663,0.27094968032976400,-2.64031777619722,2.64031777619722,5.28063555239444,52.81,2.71,
0.004,segment-20,0.38,0.4,,0.029264416464043800,1.755864987842630000,1756,0.28091584425157700,-2.68791708186644,2.68791708186644,5.37583416373288,53.76,2.81,
0.0042,segment-21,0.4,0.42,,0.030804648909519800,1.848278934571190000,1848,0.2907101016397570,-2.73385264406081,2.73385264406081,5.46770528812162,54.68,2.91,
0.0044,segment-22,0.42,0.44,,0.032344881354995800,1.940692881299750000,1941,0.300343853363618,-2.77826092316772,2.77826092316772,5.55652184633544,55.57,3.00,
0.0046,segment-23,0.44,0.46,,0.03388511380047170,2.03310682802830000,2033,0.30982724136804400,-2.82126130588349,2.82126130588349,5.64252261176698,56.43,3.10,
0.0048,segment-24,0.46,0.48,,0.03542534624594770,2.12552077475686000,2126,0.31916933829412300,-2.86295891153542,2.86295891153542,5.72591782307084,57.26,3.19,
0.005,segment-25,0.48,0.5,,0.036965578691423700,2.217934721485420000,2218,0.3283783015703060,-2.90344683641456,2.90344683641456,5.80689367282912,58.07,3.28,
0.0052,segment-26,0.5,0.52,,0.03850581113689970,2.31034866821398000,2310,0.3374614998294370,-2.94280796718003,2.94280796718003,5.88561593436006,58.86,3.37,
0.0054,segment-27,0.52,0.54,,0.04004604358237570,2.40276261494254000,2403,0.34642561752634500,-2.981116459853,2.981116459853,5.962232919706,59.62,3.46,
0.0056,segment-28,0.54,0.56,,0.041586276027851700,2.495176561671100000,2495,0.3552767422061520,-3.01843895644874,3.01843895644874,6.03687791289748,60.37,3.55,
0.0058,segment-29,0.56,0.58,,0.04312650847332770,2.58759050839966000,2588,0.3640204378343290,-3.05483559369918,3.05483559369918,6.10967118739836,61.10,3.64,
0.006,segment-30,0.58,0.6,,0.04466674091880370,2.68000445512822000,2680,0.37266180683130900,-3.0903608454909,3.0903608454909,6.1807216909818,61.81,3.73,
0.0062,segment-31,0.6,0.62,,0.046206973364279600,2.772418401856780000,2772,0.3812055428797910,-3.12506423117226,3.12506423117226,6.25012846234452,62.50,3.81,
0.0064,segment-32,0.62,0.64,,0.04774720580975560,2.86483234858534000,2865,0.3896559761380440,-3.15899091480952,3.15899091480952,6.31798182961904,63.18,3.90,
0.0066,segment-33,0.64,0.66,,0.04928743825523160,2.95724629531390000,2957,0.3980171121602540,-3.1921822151303,3.1921822151303,6.3843644302606,63.84,3.98,
0.0068,segment-34,0.66,0.68,,0.05082767070070760,3.04966024204246000,3050,0.4062926655683890,-3.22467604181931,3.22467604181931,6.44935208363862,64.49,4.06,
